name,set
Silver Vanguard,Kobalds
Dragonhatcher,Kobalds
Master Oakheart,Kobalds
Raven Familiar,Kobalds
Dragon's Fury,Kobalds
Spiteful Summoner,Kobalds
Unidentified Maul,Kobalds
Unidentified Elixir,Kobalds
Unidentified Shield,Kobalds
Wandering Monster,Kobalds
Seeping Oozeling,Kobalds
To My Side!,Kobalds
Rhok'delar,Kobalds
Shifting Scroll,Kobalds
Lesser Ruby Spellstone,Kobalds
Deck of Wonders,Kobalds
Val'anyr,Kobalds
Lynessa Sunsorrow,Kobalds
Psionic Probe,Kobalds
Twilight's Call,Kobalds
Lesser Diamond Spellstone,Kobalds
Sudden Betrayal,Kobalds
Fal'dorei Strider,Kobalds
Kobold Illusionist,Kobalds
Lesser Onyx Spellstone,Kobalds
Unstable Evolution,Kobalds
Primal Talismans,Kobalds
The Runespear,Kobalds
Skull of the Man'ari,Kobalds
Possessed Lackey,Kobalds
Kobold Barbarian,Kobalds
Geosculptor Yip,Kobalds
Gravelsnout Knight,Kobalds
Kobold Apprentice,Kobalds
Rummaging Kobold,Kobalds
Shrieking Shroom,Kobalds
The Darkness,Kobalds
Hungry Ettin,Kobalds
Grand Archivist,Kobalds
Marin the Fox,Kobalds
Witching Hour,Witchwood
Dire Frenzy,Witchwood
Book of Specters,Witchwood
Archmage Arugal,Witchwood
Cinderstorm,Witchwood
Arcane Keysmith,Witchwood
Vex Crow,Witchwood
"Toki, Time-Tinker",Witchwood
Bellringer Sentry,Witchwood
Prince Liam,Witchwood
Chameleos,Witchwood
Coffin Crasher,Witchwood
Pick Pocket,Witchwood
Blink Fox,Witchwood
Face Collector,Witchwood
Tess Greymane,Witchwood
Blazing Invocation,Witchwood
Witch's Apprentice,Witchwood
Earthen Might,Witchwood
Hagatha the Witch,Witchwood
Shudderwock,Witchwood
Dark Possession,Witchwood
Witchwood Imp,Witchwood
Woodcutter's Axe,Witchwood
Deadly Arsenal,Witchwood
Blackhowl Gunspire,Witchwood
Swamp Dragon Egg,Witchwood
Ravencaller,Witchwood
Tanglefur Mystic,Witchwood
Witch's Cauldron,Witchwood
Mad Hatter,Witchwood
Dollmaster Dorian,Witchwood
